id,author,description
604,@krisboy3812,"DISANA RAKYAT PALESTINA DIBUNUH ISRAEL. DISINI RAKYAT ""MEMBUNUH"" SAUDARANYA SENDIRI."
605,@Baron_S21,"Anehny , tanpa sadar gw sering beli 🗿🗿 ..hmmmm .. Kalo Sejeniss Kopii nya donkk spill juga biar enakk"
606,@donyalaningsun8701,"Aku setuju,dgn harapan memajukan produk lokal.. Bukan kepentingan yg lain.."
607,@khaerudinyogi449,GK jelas
608,@kutipanhidup1,Sekalian gk usah pake HP internet motor TV toa dll biar kembali ke zaman batu
609,@erfindodafino,Setuju Bang sekalian Lupada pulang ke kampung halaman. JD pengangguran SDM INDONESIA GK ADA diatas rata rata yg rendah . Karna 1 menset kau rugikan di tingkat provinsi daerah. Yg merusak sistem putaran ekonomi. Pantas saja RAKYAT INDONESIA TERTINGAL SDM nya di bawah Vietnam dan Thailand
610,@onepras,Mari beralih ke produk cina🤣🤣🤣🤣
611,@zetwelong9668,"jengkol prodak Israel , jgn makan jengkol tar bau 😁😁😁 dibohongin habib Rizieq"
612,@AyahMiziana,"Ga gitu cara mainnya ,, yang kerja di barbriknya orang Indonesia dan juga muslim. kasian lah nanti jadi makin banyak pengangguran"
613,@Alofficial277,"Baiknya jangan diimpor lagi udah,, produknya. Selagi masih impor y tetep aja bo\'ong... sampe sini y pasti laku"
614,@KenLoveMath,Jan munafik. Lu boikot produk pro israel tapi masih upload video diyoutube. Kadang lucu aja ngeliat orang yang boikot produk pro israel tapi masih pake produk pro israel😹
615,@ArangMancing,"pemerintah juga mikir dulu,gk sembarang boikot,karena itu pemasukan untuk negara,pemerintah,dan masyarakat sendiri"
616,@erfindodafino,Biarin aja bang orang Indonesia bnyak yg bodoh MAKAN NYA SDM YANG HARUSNYA DI PERBAIKI
617,@erfindodafino,Biarin aja bang orang Indonesia bnyak yg bodoh MAKAN NYA SDM YANG HARUSNYA DI PERBAIKI
618,@Paul-wg5jf,"Kecap Bango, sariwangi, Unilever semua tau kn unilever produk ny banyak bngt. Trs kira2 karyawan ny brp?klo gara2 boikot barang2. Mau memerdekakan Palestina tapi warga kita gk merdeka gmna donk. Biar lah pejabat yg urus, RAKYAT JELATA kyk kita cma butuh hidup tenang anak istri bisa makan."
619,@aapgreen809,"Ayo boikot, habis itu banyak orang Indonesia yg jadi pengangguran. Terus yg di salahin pemerintah lagi😪😪"
620,@muhamadmiftahalfarizi212,tutup aja input brng dri israel. atau pabrik yg ada. biarkn yg wrg kecil laku dulu . m.u.i jg asal jiplak aja. tutup pabrik. nya sekalian pabrik arak. miras. tutup. jgberedar terus😅
621,@kusnukusnu4683,"Itu barang kebanyakan d produksi d negara kita,yg kerja org org kita jg,gmn KL produkx d boikot gak ada yg beli trs bangrut jutaan pekerja mau d suruh kerja apa,pake logikalaah kasihan mereka yg kerja d perusahaan produkx yg d boikot,imbasx Asti k karyawan,yg bijaklah jgn ikutan boikot"
622,@dedysusiloprabowo1830,"Konten kebodohan, buat konten gak tau ilmunya..."
623,@aissyahchanel,Terus kalau prodak yang kita beli itu yang buat pekerja pekerja orang kita sendiri gimana kalau bangkrut yang dirugikan siapa....
624,@user-eo1cd9xk7h,Kita liat ending ya setelah d boikot barang yg haram ..
625,@dimasadyyusufsetyawan6287,"netizen otaknya boikot🤣. ga akan mempan sampai israel. kalau mau teori tuh lumpuhkan melalui saham, yakin investor pada mundur."
626,@dimasadyyusufsetyawan6287,kenapa pada boikot?
627,@susahpink328,tai
628,@mohalfarisi5445,Saya suka produk israel
629,@user-qd4tk2wv2e,Lah kalu bgtu jangn pake youtube donk Tolol Unta Gurun wkwkwkw
630,@footballcrazy191,nih contoh orang goblok ....jelas² Aqua itu produk Indonesia kok malah diboikot trz gunanya air gunung buat apa kalau diboikot .....kalau lu peduli ke Palestina sedekah dong jangan merugikan keuangan negara kita sendiri 👎
631,@azlannadzief9189,Selagi masih halal maka bisa di konsumsi
632,@gamergaminggamesss,Netizen : jgn beli Aq*a krna produk israel Gua : mahal anjir refill aja 5rebu doank haha
633,@akuadalah-di5co,"Aq sudah boikot,tanpa batas waktu, lumayan ngirit"
634,@kempozofficial4923,"sunggu kejam yg membuat sebuah umbaran yg tersebar luass,sama saja mematikan negri nyaa sendiri,Produk yg di anggep boikot yg di anggap haram yg di anggap ini dan ituu,sudah tertera di lebel produk yg tertulis HALAL,jika seperti ini sama saja kita mematikan negri sendiri,sudah jelas produk tersbt di buat di ngeri tercintaa kitaaa dan melayani selama beratahun"",maaf bukan membela israel atau apapun ituu,sya merasakan sebuah dampak dari isuuu ini🙏"
635,@zaindewaruci8213,"Jepang dukung Israel juga,, sekalian boikot Honda, Yamaha, Toyota, Mitsubishi dll karena mereka juga bayar upeti ke pemerintah Jepang"
636,@zilaldhakakhayri2841,Makanya bikin produk sendiri modal sendiri atuh kreatip biar lbih untung nya buat kita indo tercinta mudah mudahan tercapai omongan ini amin
637,@user-eh2ov9hc2f,"Bukan gitu caranya tohh,kalo kita ga beli sama dengan kita membuat tokoh itu bangkrutt..cara yg tepat harus di stop pemasukan barang tersebut ke negara kita,hadehh.."
638,@aajolan1858,"mka nya klian hrs pintar kya org"" israel, dri teknologi ,merk produc rmh sampe ke uangn dunia itu di kontrol org"" yahudi,mau di boikot pun mreka ttp mmpu bli biaayaain peranh toh negara wakanda bisa di beli klau mau"
639,@aseptoni7568,Lu aja yang boikot..
640,@heryhermawan8978,MUI tidak belum mengeluarkan daftar produk nya loh
641,@heryhermawan8978,Sumber nya dari mana yh kalo itu produk dari israel atau sekutunya
642,@baristakampoeng7631,"mungkin klo gua pemerintah israel Gantian gua baikot buatan yahudi di Indonesia,google , Facebook/metta , YouTube, windows, Microsoft, hp , pesawat, 😂😂 karna buatan yahudi semua , biar naik onta klo naik haji 😂😂"
643,@yusufariwicaksana9044,Boikot saja... toh juga ga ngaruh terhadap penjajahan ke palestina... Tapi saya ga munafik tetep mengkonsumsi tsb.. urusan perut utama
644,@SwarakartaID,"Hati2 yg buat video gni, bsa2 nanti di tuntut, dan di proses hukum, krna blum ada terbukti data yang mengatakan produk itu israel, dasar indonesia otak minim !!!, kalau emg mw boikot, coba bayangkan kita di indonesia hampir 95 % masih menggunakan produk luar, jadi apa yg kamu sombongkan, jangan mempengaruh masalah ... HP yang untuk buat video ini dr luar, kamu searching google itu dari luar, kenapa msh kamu gunakan, otak indonesia, pantas dari dlu gk prnh maju2, slalu senang urusan lain, ktmbng dri sndri !!!!"
645,@BamzngSp-wi3qh,"makanya rakyat indonesia banyak jiwa nya liar pemerintah kasih barang haram jadah yg rakyat ga tau, pantes aja setiap perang palestina V israel ! polri selalu kabar berita terroris penghianat harus di usir dari NKRI atau gantung emang harus di rombak total pemerintahan nya , udh korup masih aja korup dagang klo pemerintah nya maling ini bangsa jadi apa orang orang pinter yg keblinger cuma mo jadi maling"
646,@Fico_gemmer,Tp aku suka kecap Bango 😢 Karena aku klo makan nasi Nasinya dikasih kecap tp Aku tidak suka kecap lainnya Aku lebih suka kecap bango😓🙏🏻
647,@nurhela3721,Lah kan itu dari Indonesia
648,@anggacemetz903,"Pakai YouTube , Pakai Fb , Pakai Hp . apa gak malu cok"
649,@Mr.Bob.com.official,Boikottt
650,@CDT_FTHIR,Bang gw beli royko buat experiment
651,@rafaelalfarizi3318,Q mah gapeduli mau
652,@basengl764gmailcom,Hp Nya
653,@ferysulistiawan2739,Lucu liat negri sekarang
654,@mbahadam21,"Mereka berkata : ""Mf kan kami yg tdk bsa berbuat apa2 wahai rakyat palestina, melainkan hanya dg doa"" Ketika ada seruan boikot, mereka berkata : "" Maafkan kami rakyat palestina, kami takut miskin, kami takut kehilangan pekerjaan, kami takut lapar, kami tdk mampu berjihad. Maafkan kami, jika sebab ketakutan kami, berpotensi penjajahan atas kalian akan trs berlanjut smpai kalian smua punah."" Ujian ini berat ya, tpi sya rasa lbh berat ujian nya rakyat Palestina. Pendapat saya : Ikutlh jihad boikot walau blm bsa smuanya, stidaknya mengurangi. "
655,@dodipramana4441,"😂 Saya yakin 1000%, kalau semisal anda salah satu buruh pekerja di perusahaan tsb(yg terkena boikot), anda tidak akan menyuarakan seperti ini. Pasti akan menyuarakan sebaliknya, dimana anda dan keluarga juga butuh biaya untuk hidup, butuh kerja, uang, makan dan minum. Dan, kalau seandainya anda buruh pekerja di perusahaan tsb, anda merasakan dampak krisis tsb. Saya, sangat yakin anda tidak akan mendukung pemboikotan tsb. Kalau memang anda siap membantu saudara Palestine disana, dan tidak takut miskin, harusnya serahkan semua harta anda, sumbangkan ke mereka rakyat Palestine. Kalau anda masih mikirin harta2 anda, berarti suara anda diatas hanyalah omong kosong.!!!"
656,@mbahadam21,"@@dodipramana4441 Terserah anda. Boikot ini sdh sjk dulu dri organisasi boikot internasional. Di sini MUI berfatwa, klo anda tk setuju, silahkn saja. Ini ttg mesin pembunuh massal. Selebihnya adlh ttg Iman bgi yg muslim. Dan itu tdk di paksakan, krn smua ada pertanggung jwabannya msing2. Trakhir, jgn ngajari saya ttg bantuan ke Palestina, saya muslim, anda akn tdk cocok dg pemikiran saya. Jdi.....TERSERAH ANDA......OK"
657,@David-gu3wt,"Biarin kata2 orang yahudi gak ngaruh boikot gitu, setidaknya kita di posisi palestina"
658,@user-to5ci7tw1t,"Saya orang indonesia dan saya bekerja membawa produk aqua galon ,, coba anda pikirkan kalo praduk yg anda boikot itu maka pbrik d indonesia akan bangkrut ,, apakah anda tnggung jawab nya buat kami yg kemudian hari akan mnjadi pengangguran .. tolong pikirkan kmbali kita menolong negara palestina tetapi negara kita akan hancur dengan ke banyak nya pengangguran karena bnyak pbrik yg mninggalkan usaha d indonesia"
659,@endangruswana2075,"Kl kalia merasa umat muslim kalian akn takut dngn Allah, untuk mslh boikot kn cma sementara untuk membuktikan bhw kami umat manusia dunia marah sama kalian zionis krn sdh membunuh sodara2 kami. Itu sj bhw kt peduli ke palestina jd g ush bnyk alesan kl kalian mrsa umt manusia krn inilah cara yg pling lembut d bndingkn lo hrs perang. Boikot aj susah lo apa lg jihad lu?"
660,@user-mv7gl7yv3d,Itu barang yang mendukung Israel bukan dari Israel makanya jangan setengah setengah dapat info kebiasaan orang indo
661,@Shahnum780,ya allahhhhhhh jangan oreoooooooo 😩😩😩😩😩😩
662,@user-cx9er5re7g,Ya boikot aja karena membeli produk mereka sama bella orang israel. Indonesia anti israel yg biadab tidak bekemanusiaan🇮🇩🇮🇩💖🇦🇪🇦🇪🇦🇪🙏🙏
663,@faridnostalgia63,Salah bendera
664,@Vrtx3367_Avgerail,"TOLOL!!!!!!!!! SARIWANGI PRODUK ASLI INDONESIA GOBLOOOOOK.SUNLIGHT JUGA ,INDONESIA PUNYA PENGELOLA PRODUK SENDIRI JADI. BUKAN BERARTI MEREKA ASUPAN TENTARA ISRAEL"
665,@wihshhjsnshsi8691,konten anjing...gk jelas..yg kau boikot isreal yg menderita rakyat indonesia karena phk...goblokkk babi
666,@Kambing_jantan,Isi ulang lah
667,@user-el7mj5yz1u,FITNAH akhir zaman bro
668,@yanaaditiya2289,free palestina
669,@yogipangestu9505,jngn nnton aja bang
670,@mutiaraadindaputri9527,"Gua pikir roiko, masako. Ajinamoto Dari JEPANG"
671,@wisnuaribowo5187,"Yg jdi pertanyaan ku......knapa harus le mineral, knapa ....?"
672,@muhammadlutfi2923,"Faedahnya juga ada , memajukan produk lokal ."
673,@user-jg2li5vt9c,Makin banyak deh calon kenak phk tuk tahun² ke depan karna ulah beberapa pihak
674,@putrasangfajar8980,"Dikit dikit boikot... Hadeh... Politik... Tetap tak beli semua barang yang katanya diboikot... Kalau sok-sok\'an boikot barang-barang sanggup gak boikot untuk tidak pakai Facebook, Whatsapp  Youtube...??? 😅😂"
675,@faridnostalgia63,Apa hubungannya meta dan google gak mengdukung israel
676,@mohammaddaroyni5129,profokasii
677,@orangbaik-uj9io,SOLUSI TERGOBLOK !!!!!
678,@rzy-3482,"Justru kalau kayak gini kita memilih milih produk, kalau makanan sama aja kita memilih milih makanan, yang berarti kita tidak bersyukur"
679,@ImamBaihaki-vl2om,"apa untunya boikot boikot seperti ini, gak da gunanya, mending bukti nyata saja, sumbangkan sebagian kecil hartamu donasikan untuk palestin,. itu cara yang lebih efisien saat ini"
680,@HarlemManik-pk1gk,taik
681,@anissuyanto9777,Reviu obat obatan produk Israel juga dong mesin motor semua deh biar komplit
682,@DoniRizal-ff7qc,Nabi nabi-nabi nya diboikot juga gak?
683,@dwitamami4128,Le mineral galon 40 ribu??
684,@anakkampung2600,"DUkung palestine gak harus bgini makanan sama israel gada hubungannya ,Kita enggak beli barang israel pun gak bakal buat mreka sadar Akan kejahatan mreka"
685,@user-cj4ih1kh6v,"Jangan"" emang dia gk prnh beli produk unilever, dia mah stiap beli kbutuhan ya yg di beli..intinya kebutuhan konten"
686,@novaliaikaleksono945,Gimna nasip ku yg buka warung 😢
687,@Kecebong-ju3ok,Coba saja boikot walaupun susah
688,@Alif-cv3by,Boikot selama y produk pembantai manusia freee freeeee falestina
689,@lalabila2958,Maaf sebelumnya kalo produk2 israel diboikot pemerintah harus memberi lapangan pekerjaan untuk kita2 yg bekerja di kfc dan sebagainya ..brapa ribu orang yg kehilangan pekerjaan jika diboikot
690,@adeenjang9572,Semua aplikasi juga diboikot ga?
691,@jancok9564,Sejak kapan Aqua punya orang israel???
692,@adetoyib9953,Saya sangat setuju sekali produk yahudi harus diboykot dan jangan dibeli demi palestina.
693,@jancok9564,Orang tolol beginilah kerjanya.. Mangkanya ada youtube buat content peringkat orang Tertolol terbodoh Indonesia termasuk no130 Di semua negara. Jadi wajarlah
694,@dreamcatcher6700,Apa beda nya masako yang di pegang sama yang kecil? Sama aja wkwkwkw
695,@dreamcatcher6700,Gue bodo amat
696,@rudy5018,Masa kecap bango jg 😀 lha sponsornya kan ibu2 indonesia di tv itu
697,@Aryf-kw5fh,Setuju 👍
698,@vibe_music8207,Sama aja lu nglakuinnya telat pula
699,@WADAUgaming,Hati2 harus pastikan dulu produk yang mau di boikot itu berasal dari informasi MUI jgn sampai di jadikan alat untuk menyingkirkan pesaing perusaahan yg tidak bertanggung jawab
700,@mundihartono188,Setuju
701,@harywahyudi321,Kita sama-sama belajar mencintai produk dalam negeri yuks... Biar bangsa kita tambah maju dan bisa berkontribusi buat mereka semua... 😊
702,@desysetiawati2258,Kak klo kita belinya sebelum perang Israel dan Palestina itu gpp atau gimana ya?
703,@afwan2058,Le Mineral juga punya yahudi
704,@myway5398,Baru tau kalau royco itu produk Israel
705,@anglersabtuminggu6769,"Kesukaan gw klo krj tiap hari minumnya beli Aqua,pokoknya Aqua setiap hari"
706,@sebutsajabram,kan bagus gw dukung israel terkuat
707,@arienovember15,Benar. Di sini pemerintah harus bener² mendukung ada nya boikot..masyarakat pun sudah setuju ada nya boikot. Hentikan produk² zionis israel yang ada di indonesia..#freepalestine❤❤❤
709,@islamhargamati756,Gua pakek semua itu tpi bukan berarti gua dukung Israel
710,@indrakusmanaziz2186,Owh ternya banyak ya
711,@user-bi7zs2lc7w,Boikot Dagangan zionis penyokong genosida!
712,@febs6294,Saban hari lu udeh pada minum makan begituan pake boikot 😂
713,@uyunjaginuyunja8289,"Tapi kenapa meta ga di boikot seperti watshap, Facebook, instagram kan pnya org yahudi jg??? Memboikot masih pilih pilih😢😢😢😢😢"
714,@sigitadi8557,Buat yg mau aja yg ga mau gak di paksa juga
715,@brodenhazard5213,"Suruh boikat tp g brani hapus wa, fb, ig, tiktok, Youtube. Wah wah,, konsisten donk."
716,@jakadierameta8869,Siap nganggur..siappp.!!!!!😂😂😂😂😂
717,@yoyoallexa2296,ALHAMDULILLAH PELAN2 SUDAH BERALIH MERK ❤❤❤
718,@muhammadari8090,Di tv kok gua liat produk aqua sama pepsodent msh gencar ya
719,@user-xu3ph9gc8m,Postingan itu harus dipikir pikir lagi
720,@ayudemesya7954,Lah kenapa gak boleh kan semua kebutuhan kita dari semua barang itu jadi knp kita gak boleh aneh
721,@dreamcatcher6700,Biasa orang aneh
722,@Devan.Gidara,"Kecap ABC dan saos ABC, itu juga g boleh itu dari Israel"
723,@user-xl7po3xh8p,Mengapa orang² tidak boleh beli barang priduk istael
724,@popolandkuppatiktok9686,Emang dengan lo ga beli dagangan israel perang mereka akan berhenti? Pake logika bagi penjual kecil yg sudah terlanjur stok barang lama. Menghargai atau meembela boleh asal masuk akal. Dasar agama rasis apa2 dirasisin
725,@dreamcatcher6700,Indonesia warga semakin diot wkwkw
726,@jasmarijr88,Saya akan tetep beli kalok udah sampai warung-warung
728,@MobileLegends-oy2xs,Facebook. Whatsapp. Miliki siapa ya
729,@rudiperadi-li7pd,"Produk Pro israel / pembawa sial Unilever  Danone  Aqua  Oreo Susu SGM Susu Dancow  Hewlett packard  Siemens  Puma AXA Coca cola, sprite, fanta.  Pepsi  Mcdonald  Starbuck  Pizza hut  Burger king KFC Nestle Rokok Marlboro  Rokok Lucky strike"
730,@nasigorengpecelesteh1506,Unilivir itu boikot
731,@Pnyok37837,"Tapi kenapa ya, walaupun kita udah gk beli itu, belum ada perubahan di Palestina dan Israel #savepalestine"
732,@avivah1183,Bohong yang setuju bohong laike 👇
733,@user-wu4xf4yb4t,INDONESIA MAKIN IDIOT !!!
734,@bambangrembang4772,jangan jadi orang bodoh....
735,@andrewsabaresabarus2645,"Ia tolong anda juga jangan pakai youtube,fb,dll krn produk amerika dan pendukung israel. 😂😂bodohnya produk2 di indonesia punya pabrik dan karyawan semua warna indonesia. akhirnya banyak phk warga indonesia."
736,@CadelBARBAR,ciri² org yg otaknya d ganti pipa rucika makannya tolol nya mengalir jauh🗿
737,@966baim9,kita beli produk Jepang China dan produc perusahaan kita sendiri saja.
738,@tugimankds9500,"knapa masih pakai hp,hp kan produk yahudi"
739,@endonarianto6185,"Selagi ada produk sejenis dan fungsi yg sama, g ada salah\'y pake produk tsbt yg trpenting gak ada sangkut paut\'y dngn ISRAEL Konten yg edukatif 👍👍"
740,@krisboy3812,"GUA PUNYA TOKO DI SIRAEL.. TRUS GUA BAGI-BAGI INDOMIE KE TENTARA ISRAEL. LALU KALIAN MEM BOIKOT INDOMIE..?? SEBALIKNYA, BANYAK PERUSAHAAN YANG KALIAN BOIKOT MENYISIHKAN SEBAGIAN RiZKI NYA UNTUK FAKIR MISKIN, YATIM PIATU,  KORBAN BENCANA ALAM DLL. karna Banyak pemiliknya yang muslim juga di INDONESIA. SEMUA TERGANTUNG PEMILIK/PEMIMPIN. BEDA TEMPAT, BEDA MANAGEMENT. BEGITU ANALOGINYA."
741,@dahnurinuri-ic1ww,Padahal aqua asli wonosobo
742,@user-dv1ib6nz3t,Indonesia sedang jadi marketing😂😂 kenapa ga dari dulu AQUA di ttup dll. Hadeuh pasar tradisonal di tutup alfa.indomart di buka . Hadeuh. Bpibu pinter banget sampai dpet gelar. S.h.s.e.s.s.s.s. es.nong nong
743,@muhidinenon7736,toko/produk/pabrik yahudi biar ada Di indonesia yg mendukung yahudi penjajah itu ke untungan NY dia kirim ke negara ny buat beli senjata rudal nuklir bom buat bantai umat islam Di dunia mikir waras anda coba cari info klo anda ketinggalan info nya bro
744,@moviess78,BOIKOT PRODUK PALESTINE💪
746,@muhidinenon7736,mulai sekarang gua benci produk/toko2 nya bangsa yahudi penjajah bangsat saya lebih memilih produk yg laen dan toko yg laen guru agama saya sudah Lama ngasih tau jgn beli produk yahudi penjajah keuntungan NY dia kirim ke negara ny buat beli bom rudal nuklir tuk merangin bantai Muslim di dunia anda harus mikir waras
747,@notraitor1489,iklan
748,@ViviArtika,klo gw beli semua terserah dri israel
749,@kurniakings9209,Iponku beli nie.. mau ganti pipo aja 😁😁😁
750,@ReD-fg2ch,kenapa produk Israel.masih di jual goblok banget 🖕🖕🖕🖕
751,@kanovra4031,enak buatan dlm negri. lbh mantap rasanya
752,@Laelae_Mboda,Aneh2 saja Para warga Negara ini...BOIKOTNYA di nampakkan di Kamera. Sebaliknya Produk yg mau di BOIKOT Kenyataannya DI GUNAKAN JUGA...wehhh para Warga indonesia...Jangan Kelebihan Kali lah ya.. Kenyataannya Anda masih dan Memang Harus Menggunakan Produk-produk yang anda Viralkan untuk di boikot. Nyatanya anda memang Harus menggunakan nya setiap saat...
753,@foxberries9907,pembodohan!!!
755,@tbrracing2887,Hati-hati kalo bikin konten youtube karena menyebarkan berita hoax bisa kena UU ITE
756,@user-cp4mi2sd2u,Jangan Sampek masuk grup keluarga auto berisik 😅
757,@user-cp4mi2sd2u,Gw heran lu gak sadar dari dulu lu makan
758,@kentangmustofa9212,"Orang orang terlalu sibuk dengan memboikot makanan dan barang kebutuhan sehari hari yang pro israel, sampai lupa kalo kita semua sedang menggunakan aplikasi siapa."
759,@SERIES_Kmh,SEBENERNYA SEBAGIAN BESAR PARA PEKERJA ENTAH ITU YG DI PABRIK ATAU APALAH YG ADA SANGKUT PAUTNYA DENGAN PRODAK ISRAEL SEBENERNYA MEREKA BUKAN PUNYA TUJUAN UNTUK MEMBANTU ISRAEL TAPI MEREKA KERJA UNTUK CARI NAFKAH....
760,@abbrarridho2876,"Lah ini YouTube produk nya siapa coba?kalo emg niat boikot ya jgn pakek YouTube jg bro.produk nya g salah bro karna produknya sudah byk berjasa jg dlm kehidupan kita selama ini.itu masalah politik,jgn d sangkut pautkan dengan masalah kemanusiaan gaes"
761,@nafisah3465,Selagi pajaknya lancar .ok ok aja
762,@satriotrenggalek7315,hadehhhh..... nahhhh pake aja abu bagi yg setuju... 😂😂😂😂 pake SANTITET.. BIJI KELERAK.....
763,@pemilikz_hati,Nama Pabrik nya lg mbk..jdi klo mereka mau beli biar melihat nama pabriknya jg.pabriknya kn produknya bnyak bnget.
764,@user-gz3xc4ev2h,Ipong buatan mamarika dan mamarika dukung si rael kenapa ipong gak ikut di boikot
765,@budakleuweung7011,Ujung2 nya perang dagang smua mengambil kesempatan di atas derita palestina sudah kebaca biar produk yg tadi nya ga laku jadi laku masih aja ada org yg berbisnis di atas tangis penderitaan palestina
766,@uziesejuta8740,alah sia anjing ngajak boikot kalo sia betani hp kalian banting itu semua produk yahudi..karena pake sistem android atau ios... katanya jihad tapi hp sayang... setuju haram tapi hp halal... kalian gerombolan munafik....
767,@yudifatihabidah8866,setahu saya kecap bango itu pabrik nya dikemandoran daerah palmerah bukan produk israel
768,@dolly_Anugrah,"Penting babget sama boikot boikot , gi bodohin perang kalian warga Indonesia"
769,@alihotmanregar2230,"Lahh kenapa anda masih menggunakan YouTube, Dan gouggle.......? Kocak enteeee"
770,@baladaanakrantau8620,Yang sudah dibeli pedagang ya biar habis Selanjutnya distop ganti dengan produk serupa buatan dalam negeri
771,@yasi9170,Beberapa hari kemudian.......... Malah dibeli😄
772,@zaeinularifinanwar6066,"Inilah yang merugikan rakyat nyengsarakan rakyat , lagi2 rakyat yang menanggung beban iya kalo rakyatnya orang mampu semua..."
773,@zulfieannur6584,"Pemerintah yg harusnya lebih tegas menstop produk"" mereka.... Aneh pemerintah kita nih"
774,@nursadiah4877,Yang buat kn indonesia
775,@user-ho9vk9di2t,"Kira"" produk israel yg masuk indo apa aja ya ?"
776,@user-lg4jw3ex1t,Sariwangi dibaikot.. kalo sari istrinya mang dadang baikot jangan
778,@bramvano5655,I don\'t care what do you want. standar ganda kalian hanya akan menyengsarakan sebangsa sendiri
779,@user-my7vs9mn6x,Semua itu di butuhkangak
780,@filsakiwil4431,Tetep aqua
781,@NurulHuda-zl3gh,Btl kdng orng pintar at orang alim sklipun biarpub pndai dlm ilmu agama blm tntu spnuhny bnr dlm mnjlnkn sgl ssuatu dlm khdpn.cnthny mui mngajk rakyt mlrang beli produk yg diboikot.ap it nmny orng bijk.trs gmn para pdagang kcil yg modal pas2an.ap g rugi besar.trkecuali mmberi fatwa sklgus mmberi jln at mmberi sntunn dagangn .yg bnr it pmeintah mlrng msukny brang yg diboikot.yg sdh telnjur di warung at kedai dsb biarkn aj biar hbs.
782,@joelmilano4973,"Dan 1 huruf yg kamu ketik di sosmed/google, jdi cuan buat israel🤣😂"
783,@muhammadrais201,FACEBOOK DAN GOOGLE..diblokir buatan yahudi..biar ampas yahudi
784,@artadwiguna1494,Semoga kedua negara tersebut cepat damai dan mengutamakan kemanusiaan di atas segalanua 🇮🇱❤🇵🇸
785,@dzulyanalzikri5332,Kesempatan para kreator.. nambahin like dan komen😂😂😂 supaya chanelnya rame😂😂
786,@slametarifin7048,"Kalo produk Israel sudah lama beredar di Indonesia bisa jadi orang"" yg diatas kita pro israel"
787,@user-nz8pp3xg7u,Padahal pabriknya di indonesia kenapa bisa jadi milik israel
788,@user-bw5ub4mq1u,Stop produk Israel jangan sampe beredar di indonesia
789,@MalikaBalqis-rk7qf,"Ini hoax, bukan boikot Israel, tapi bunuh diri, sadarlah !!!!!"
790,@ceacepacep1015,"Terima Kasih Min Telah Memberitau Produk"" Dari Zionis Israel Laknattulloh Kalau Masih Ada Yang Lain Produk"" Dari Zionis Israel Mohon Di Beritau Lagi Semuanya Biar Kita Boikot Lagi"
791,@ellenasparingga6,Yang penting tulisanya khalal.. Tidak apa apa.. Fikir dulu sebelum bertindak para yutuber
792,@agustiansitepu1713,"Yg kerja disitu kebanyakan warga Indonesia,kok engga mikir orang banyak"
794,@tantansaepudin3244,"boikot harusnya tarik semua produk barang yahudi, jgn ada lagi ditoko2 atau disupermarket, itu baru boikot, bkn omdo doang"
795,@nanangsetyawan7504,Brow youtube mu bukan ne juga dari Israel??? Gak kamu boikot kah??
796,@halloteman-teman5487,"Sari wangi itu bahasa indonesia dan bango sendiri adalah burung bangau😂 apa benar produk-produk itu di beli dan uangnya di terima seller, trus transfer ke israel atau sekutu amerika? Yang gak usah di beli mah mcd,doritos,dunkin,pringles, dan produk yang asli bukan dari indonesia. Menurutmu apa benar indomie dari isriwil😂 btw bea cukai koq nerima twaran produk luar ya?..."
797,@alanalay4278,Sebelum di kontenin kaji dlu kepusan dari kemenag ada yg salah dengan produk nya
798,@michaeltristantheodoressia7003,Tinggal ga ush beli lagi ribet amat perlu demo2 diyutub
799,@vlogpribadi630,Setidaknya kita berempati karena ini masalah nyawa bukan sekedar untung rugi(bisnis)
800,@mfcmadurafishingclubcahaya6383,"Wa itu produk Israel, wani blokir😅😅😅"
801,@Rasmawati72,Bila kita I ngin S ehat Laksanakan A jaran M uhammad saw. free Palestine! Allahu Akbar!!!
802,@rachmadn9050,Salah kaprah dalam penggunaan kata2. Itu semua bukan produk isra3l . itu produk dalam negeri tp perusahaannya terafiliasi dengan isra3l.
803,@tatok215,"kebencian balas kebencian, mata ganti mata ajaran bijaksana?"
804,@razakiriantoirianto1687,gunakanlah produk dalam negri kita yg berkwalitas.
805,@tukang_kitchenset8412,Setuju
806,@harwantoaji9629,Tidak ada pengaruh buat Istrael.
807,@Nad.T.P,AQua bukan Israel tapi dari alam
808,@chandraadinata3217,Woi aqua tuh indoensia pabrik nya di indoensia masih percaya aja sih kebiasaan mana mungkin ngacok aja
810,@aripnugroho655,😂 lucu
812,@AbmunirMunir-bv9ny,"Sy paling benci,dengan Mimin ky gini,coba pikirkan dampaknya,ke masyarakat kita,emang Lo bs mengganti rugi semua,waras doank otaknya"
814,@al_mujadid76,"Assallammu allaikum wr br, sallam sehat sallam sejahtera, sallam santun sallam rahayu"
815,@tomyrifaudin3688,Dari pada boikot mending pihak pemerintah stop pemasukan dari amerika dan yang lain nya . Terutama produk² israel .. semoga di baca oleh pemerintah . Cintai produk dalam negri lebih bagus
816,@rohmanzah6368,"Membela sodara jauh membunuh sodara dekat (fahami kata"" saya)"
817,@ekahidayat7328,Saya butuh bukti
819,@tarkimcahyo5787,"Aqua ada manis2nya yah,lebih segeeer"
820,@krismonandrianto4060,Gila gua sering beli2 itu semua gk nyangka
821,@ndrybean,Kadang orang itu aneh aneh
